filename,width,height,class,xmin,ymin,xmax,ymax
1924.jpg,1280,720,B,437,72,761,179
4458.jpg,1280,720,C,102,117,358,452
6055.jpg,1280,720,C,751,112,1186,245
1329.jpg,1280,720,A,725,379,1016,543
4115.jpg,1280,720,C,141,243,425,495
707.jpg,1280,720,A,850,372,1018,578
3635.jpg,1280,720,B,454,111,697,232
3105.jpg,1280,720,B,154,297,354,438
253.jpg,1280,720,A,320,399,621,573
2117.jpg,1280,720,B,701,511,886,607
991.jpg,1280,720,A,243,178,562,326
2770.jpg,1280,720,B,599,125,840,238
5126.jpg,1280,720,C,103,157,507,390
807.jpg,1280,720,A,490,141,910,275
4740.jpg,1280,720,C,725,275,1191,574
4260.jpg,1280,720,C,356,442,769,616
2930.jpg,1280,720,B,714,487,964,621
3525.jpg,1280,720,B,954,267,1126,395
3707.jpg,1280,720,B,477,563,688,651
618.jpg,1280,720,A,208,179,520,334
2176.jpg,1280,720,B,155,480,424,693
3518.jpg,1280,720,B,940,234,1120,407
5397.jpg,1280,720,C,763,401,1044,617
4592.jpg,1280,720,C,730,35,1125,393
183.jpg,1280,720,A,280,235,468,480
5289.jpg,1280,720,C,738,166,1172,421
879.jpg,1280,720,A,458,117,984,220
2729.jpg,1280,720,B,250,164,485,300
2000.jpg,1280,720,B,309,171,545,295
2572.jpg,1280,720,B,242,210,441,331
1434.jpg,1280,720,A,745,319,1023,493
5383.jpg,1280,720,C,163,57,515,378
638.jpg,1280,720,A,715,133,1063,256
3514.jpg,1280,720,B,99,301,329,450
5847.jpg,1280,720,C,32,193,324,431
3368.jpg,1280,720,B,977,383,1134,503
31.jpg,1280,720,A,145,189,490,365
448.jpg,1280,720,A,320,311,504,556
387.jpg,1280,720,A,219,371,349,691
5901.jpg,1280,720,C,438,61,922,258
194.jpg,1280,720,A,878,268,1065,490
2561.jpg,1280,720,B,632,154,929,295
4322.jpg,1280,720,C,723,279,1192,575
5328.jpg,1280,720,C,98,64,422,364
2635.jpg,1280,720,B,929,323,1148,500
6002.jpg,1280,720,C,161,341,503,632
5034.jpg,1280,720,C,442,83,866,275
1565.jpg,1280,720,A,805,396,991,579
5581.jpg,1280,720,C,305,457,666,653
1008.jpg,1280,720,A,216,265,442,503
4177.jpg,1280,720,C,248,2,433,430
6158.jpg,1280,720,C,194,161,504,284
1483.jpg,1280,720,A,641,137,1061,276
5906.jpg,1280,720,C,174,169,469,333
4999.jpg,1280,720,C,113,465,620,652
3595.jpg,1280,720,B,961,293,1151,475
1373.jpg,1280,720,A,235,259,433,448
2766.jpg,1280,720,B,233,180,455,320
297.jpg,1280,720,A,743,409,996,592
965.jpg,1280,720,A,713,421,957,589
3704.jpg,1280,720,B,659,437,940,575
3778.jpg,1280,720,B,395,148,665,285
3093.jpg,1280,720,B,971,242,1136,368
357.jpg,1280,720,A,571,445,1009,565
55.jpg,1280,720,A,443,110,892,223
1917.jpg,1280,720,B,263,416,452,535
5295.jpg,1280,720,C,1001,247,1278,509
3526.jpg,1280,720,B,644,507,871,602
3050.jpg,1280,720,B,770,178,1018,340
5996.jpg,1280,720,C,93,257,414,522
1411.jpg,1280,720,A,448,430,798,552
462.jpg,1280,720,A,290,148,680,320
1340.jpg,1280,720,A,208,152,680,246
1121.jpg,1280,720,A,124,107,655,225
3164.jpg,1280,720,B,618,140,834,242
6137.jpg,1280,720,C,650,479,986,596
700.jpg,1280,720,A,312,130,591,283
3934.jpg,1280,720,C,192,105,346,429
1355.jpg,1280,720,A,581,142,932,278
5510.jpg,1280,720,C,100,257,464,499
189.jpg,1280,720,A,254,215,481,447
2545.jpg,1280,720,B,161,277,384,436
4045.jpg,1280,720,C,176,222,424,361
2123.jpg,1280,720,B,318,155,539,265
5909.jpg,1280,720,C,196,287,410,605
1885.jpg,1280,720,A,714,361,1038,510
1368.jpg,1280,720,A,269,208,547,354
5701.jpg,1280,720,C,880,99,1203,446
5595.jpg,1280,720,C,181,284,383,665
3834.jpg,1280,720,C,781,368,1121,512
2993.jpg,1280,720,B,72,232,373,416
4046.jpg,1280,720,C,154,170,384,510
5394.jpg,1280,720,C,111,229,436,526
527.jpg,1280,720,A,787,241,976,480
1010.jpg,1280,720,A,219,237,396,449
115.jpg,1280,720,A,440,131,806,234
3522.jpg,1280,720,B,679,412,963,562
6185.jpg,1280,720,C,227,342,530,680
4076.jpg,1280,720,C,997,362,1224,678
946.jpg,1280,720,A,303,221,453,469
3447.jpg,1280,720,B,656,163,945,307
5423.jpg,1280,720,C,161,47,484,383
2644.jpg,1280,720,B,530,124,832,252
4095.jpg,1280,720,C,125,320,407,673
4785.jpg,1280,720,C,720,108,1029,340
3918.jpg,1280,720,C,5,59,153,482
4825.jpg,1280,720,C,128,267,371,610
6144.jpg,1280,720,C,718,109,1138,260
542.jpg,1280,720,A,344,162,807,267
2715.jpg,1280,720,B,767,483,966,590
128.jpg,1280,720,A,924,328,1103,585
3079.jpg,1280,720,B,400,122,636,245
677.jpg,1280,720,A,195,411,516,571
1100.jpg,1280,720,A,193,309,336,587
6150.jpg,1280,720,C,168,107,376,371
4208.jpg,1280,720,C,814,181,1125,453
757.jpg,1280,720,A,886,292,1055,592
3930.jpg,1280,720,C,615,437,984,633
3796.jpg,1280,720,C,846,421,1080,667
2570.jpg,1280,720,B,831,228,1042,437
517.jpg,1280,720,A,678,122,1068,254
2633.jpg,1280,720,B,146,370,381,513
3137.jpg,1280,720,B,762,366,1018,530
5025.jpg,1280,720,C,168,384,497,568
4475.jpg,1280,720,C,851,386,1105,638
3759.jpg,1280,720,B,545,512,834,625
1868.jpg,1280,720,A,387,508,815,606
2964.jpg,1280,720,B,404,459,607,563
2457.jpg,1280,720,B,844,385,1070,545
805.jpg,1280,720,A,334,138,573,277
1144.jpg,1280,720,A,697,356,969,509
1228.jpg,1280,720,A,461,480,1001,578
472.jpg,1280,720,A,658,116,1051,226
1529.jpg,1280,720,A,221,394,530,555
2945.jpg,1280,720,B,298,156,537,304
3054.jpg,1280,720,B,597,454,922,585
2830.jpg,1280,720,B,761,384,954,594
381.jpg,1280,720,A,227,238,456,444
5989.jpg,1280,720,C,163,115,372,411
484.jpg,1280,720,A,422,462,786,592
3571.jpg,1280,720,B,323,425,516,537
4551.jpg,1280,720,C,768,432,1181,556
4444.jpg,1280,720,C,875,165,1139,440
4637.jpg,1280,720,C,125,93,430,453
5015.jpg,1280,720,C,141,73,376,375
92.jpg,1280,720,A,735,415,968,576
747.jpg,1280,720,A,498,138,901,257
3976.jpg,1280,720,C,729,428,999,617
496.jpg,1280,720,A,832,146,999,397
817.jpg,1280,720,A,1025,335,1192,617
2243.jpg,1280,720,B,223,258,414,497
1522.jpg,1280,720,A,254,301,528,548
5644.jpg,1280,720,C,716,45,1104,371
1280.jpg,1280,720,A,489,89,1020,186
2888.jpg,1280,720,B,834,189,1035,325
1482.jpg,1280,720,A,819,59,1038,351
2419.jpg,1280,720,B,239,417,474,563
4181.jpg,1280,720,C,163,244,430,496
3283.jpg,1280,720,B,259,413,476,548
860.jpg,1280,720,A,935,347,1126,592
3730.jpg,1280,720,B,137,413,276,604
3448.jpg,1280,720,B,238,256,479,435
4094.jpg,1280,720,C,383,81,942,236
2510.jpg,1280,720,B,232,363,491,516
2092.jpg,1280,720,B,682,527,871,620
5179.jpg,1280,720,C,416,463,889,617
420.jpg,1280,720,A,769,374,1070,535
3118.jpg,1280,720,B,796,428,1014,566
1787.jpg,1280,720,A,291,378,523,582
3493.jpg,1280,720,B,341,491,587,621
1988.jpg,1280,720,B,250,417,486,552
2194.jpg,1280,720,B,381,93,627,223
1473.jpg,1280,720,A,285,478,612,583
1583.jpg,1280,720,A,951,302,1112,571
1727.jpg,1280,720,A,242,182,524,376
5219.jpg,1280,720,C,747,388,1088,538
3321.jpg,1280,720,B,243,360,474,503
2276.jpg,1280,720,B,761,159,958,273
5198.jpg,1280,720,C,311,91,649,248
5969.jpg,1280,720,C,461,73,988,220
6192.jpg,1280,720,C,125,229,374,459
4377.jpg,1280,720,C,20,300,275,589
1321.jpg,1280,720,A,247,236,440,527
2980.jpg,1280,720,B,177,286,365,430
5579.jpg,1280,720,C,125,97,432,456
3886.jpg,1280,720,C,132,384,488,634
3982.jpg,1280,720,C,844,344,1129,683
2432.jpg,1280,720,B,778,181,1023,345
6071.jpg,1280,720,C,186,494,624,611
3189.jpg,1280,720,B,248,220,394,439
4843.jpg,1280,720,C,737,395,1080,675
4650.jpg,1280,720,C,388,62,1017,244
708.jpg,1280,720,A,244,233,479,425
2648.jpg,1280,720,B,857,245,1083,382
1597.jpg,1280,720,A,158,217,466,414
