filename,width,height,class,xmin,ymin,xmax,ymax
4287.jpg,1280,720,A,206,461,603,600
510.jpg,1280,720,A,651,145,966,337
16171.jpg,1280,720,C,812,175,1112,382
7894.jpg,1280,720,B,939,129,1241,271
4847.jpg,1280,720,A,228,369,463,603
177.jpg,1280,720,A,265,274,473,514
8718.jpg,1280,720,B,792,379,971,496
1458.jpg,1280,720,A,177,127,354,369
16231.jpg,1280,720,C,124,435,536,603
6492.jpg,1280,720,B,791,425,1024,564
12717.jpg,1280,720,C,684,107,1163,243
503.jpg,1280,720,A,649,147,950,338
5417.jpg,1280,720,A,686,149,1046,283
1377.jpg,1280,720,A,759,160,1079,336
7791.jpg,1280,720,B,828,430,1006,539
1226.jpg,1280,720,A,790,402,998,576
1556.jpg,1280,720,A,563,158,912,296
11755.jpg,1280,720,C,199,339,353,628
14109.jpg,1280,720,C,75,233,364,490
1069.jpg,1280,720,A,858,187,1103,362
10081.jpg,1280,720,B,275,431,504,561
2434.jpg,1280,720,A,713,341,994,486
2347.jpg,1280,720,A,388,161,781,271
1694.jpg,1280,720,A,625,451,969,614
17093.jpg,1280,720,C,860,188,1125,401
762.jpg,1280,720,A,902,275,1046,593
11877.jpg,1280,720,C,318,33,722,235
187.jpg,1280,720,A,634,504,1088,613
17491.jpg,1280,720,C,665,398,995,596
1346.jpg,1280,720,A,294,189,593,348
13767.jpg,1280,720,C,751,143,1099,283
2493.jpg,1280,720,A,563,166,848,332
18346.jpg,1280,720,C,391,464,747,661
0.jpg,1280,720,A,238,222,453,471
3422.jpg,1280,720,A,226,351,535,530
8809.jpg,1280,720,B,215,193,443,361
16273.jpg,1280,720,C,282,461,475,614
4157.jpg,1280,720,A,367,452,750,581
12557.jpg,1280,720,C,753,222,1066,465
5061.jpg,1280,720,A,804,158,987,419
2157.jpg,1280,720,A,342,284,523,521
2311.jpg,1280,720,A,725,274,960,460
776.jpg,1280,720,A,263,252,412,580
8634.jpg,1280,720,B,313,143,549,264
3561.jpg,1280,720,A,279,133,530,319
957.jpg,1280,720,A,334,135,618,284
9477.jpg,1280,720,B,898,286,1133,425
12290.jpg,1280,720,C,297,489,823,625
17561.jpg,1280,720,C,497,68,971,301
5423.jpg,1280,720,A,291,163,673,298
16319.jpg,1280,720,C,643,386,1031,672
9113.jpg,1280,720,B,265,436,506,570
3783.jpg,1280,720,A,328,397,571,586
13984.jpg,1280,720,C,71,9,310,344
2976.jpg,1280,720,A,493,188,837,391
3179.jpg,1280,720,A,859,195,1110,410
8234.jpg,1280,720,B,661,141,871,247
3822.jpg,1280,720,A,539,457,990,560
1666.jpg,1280,720,A,249,388,488,603
11340.jpg,1280,720,B,350,441,565,561
5391.jpg,1280,720,A,724,328,1022,531
14284.jpg,1280,720,C,250,62,645,313
9699.jpg,1280,720,B,272,440,471,547
5488.jpg,1280,720,A,440,83,811,206
98.jpg,1280,720,A,909,292,1037,576
3809.jpg,1280,720,A,274,295,457,558
12662.jpg,1280,720,C,201,527,714,633
8825.jpg,1280,720,B,507,489,737,590
8435.jpg,1280,720,B,893,231,1086,416
158.jpg,1280,720,A,334,281,547,503
9210.jpg,1280,720,B,258,440,508,573
340.jpg,1280,720,A,308,358,503,580
1838.jpg,1280,720,A,580,101,1053,217
1390.jpg,1280,720,A,263,217,482,465
3644.jpg,1280,720,A,287,264,480,477
2474.jpg,1280,720,A,318,249,502,487
8939.jpg,1280,720,B,697,468,909,574
16200.jpg,1280,720,C,392,494,773,638
14536.jpg,1280,720,C,60,16,312,351
4051.jpg,1280,720,A,843,224,1067,479
16803.jpg,1280,720,C,499,69,1035,224
9549.jpg,1280,720,B,227,391,447,521
13427.jpg,1280,720,C,799,193,1125,472
17209.jpg,1280,720,C,557,78,993,189
11742.jpg,1280,720,C,147,454,561,590
2415.jpg,1280,720,A,882,357,1047,570
8078.jpg,1280,720,B,388,438,603,545
4357.jpg,1280,720,A,376,417,734,557
15173.jpg,1280,720,C,229,110,488,336
5426.jpg,1280,720,A,761,184,1036,321
16335.jpg,1280,720,C,154,355,436,538
13609.jpg,1280,720,C,292,50,751,264
1948.jpg,1280,720,A,523,462,989,562
5572.jpg,1280,720,B,782,434,1028,571
11306.jpg,1280,720,B,298,476,532,593
5739.jpg,1280,720,B,730,499,927,598
3532.jpg,1280,720,A,356,124,619,266
5341.jpg,1280,720,A,252,223,393,496
5666.jpg,1280,720,B,817,412,1054,548
1424.jpg,1280,720,A,233,276,401,573
8879.jpg,1280,720,B,281,418,477,541
3224.jpg,1280,720,A,852,231,1067,445
17603.jpg,1280,720,C,194,131,363,438
971.jpg,1280,720,A,251,173,403,422
1782.jpg,1280,720,A,797,160,996,401
16095.jpg,1280,720,C,498,70,1040,257
2691.jpg,1280,720,A,699,350,1022,538
1650.jpg,1280,720,A,597,110,927,265
4988.jpg,1280,720,A,247,347,510,568
4923.jpg,1280,720,A,612,450,926,594
10992.jpg,1280,720,B,311,169,566,325
5604.jpg,1280,720,B,202,359,426,490
11783.jpg,1280,720,C,699,338,1080,536
1833.jpg,1280,720,A,225,233,464,428
452.jpg,1280,720,A,245,405,530,544
743.jpg,1280,720,A,876,273,1070,541
10513.jpg,1280,720,B,364,138,549,236
6293.jpg,1280,720,B,606,481,861,585
17779.jpg,1280,720,C,591,379,1044,658
8855.jpg,1280,720,B,876,220,1048,327
2190.jpg,1280,720,A,637,473,896,595
5814.jpg,1280,720,B,838,187,1016,290
10153.jpg,1280,720,B,926,316,1131,476
16878.jpg,1280,720,C,143,108,408,347
9033.jpg,1280,720,B,894,261,1101,448
15030.jpg,1280,720,C,159,415,581,601
17387.jpg,1280,720,C,156,99,467,384
954.jpg,1280,720,A,904,298,1074,572
11855.jpg,1280,720,C,462,86,964,186
5375.jpg,1280,720,A,289,207,550,399
17998.jpg,1280,720,C,385,415,692,580
14048.jpg,1280,720,C,510,97,873,298
4486.jpg,1280,720,A,259,253,443,530
2142.jpg,1280,720,A,280,210,516,414
8802.jpg,1280,720,B,276,163,484,272
11807.jpg,1280,720,C,248,477,876,665
14440.jpg,1280,720,C,346,53,668,245
2669.jpg,1280,720,A,322,116,639,304
16694.jpg,1280,720,C,863,388,1068,637
10062.jpg,1280,720,B,277,226,455,340
9061.jpg,1280,720,B,622,502,888,618
10223.jpg,1280,720,B,781,424,1014,556
827.jpg,1280,720,A,403,285,574,598
2099.jpg,1280,720,A,429,89,899,207
9443.jpg,1280,720,B,760,174,1005,318
16830.jpg,1280,720,C,690,501,975,677
10329.jpg,1280,720,B,207,316,401,458
4534.jpg,1280,720,A,831,210,1069,379
18180.jpg,1280,720,C,814,322,1066,468
2425.jpg,1280,720,A,300,128,580,326
7699.jpg,1280,720,B,271,148,530,294
3869.jpg,1280,720,A,633,148,891,322
1428.jpg,1280,720,A,689,413,963,579
350.jpg,1280,720,A,277,201,580,336
8801.jpg,1280,720,B,611,491,849,605
4322.jpg,1280,720,A,626,436,943,596
11723.jpg,1280,720,C,119,123,252,461
6975.jpg,1280,720,B,833,183,1028,301
3254.jpg,1280,720,A,699,151,1050,293
1777.jpg,1280,720,A,777,417,1013,593
14619.jpg,1280,720,C,704,109,969,268
5378.jpg,1280,720,A,262,441,600,568
8523.jpg,1280,720,B,904,425,1085,540
12476.jpg,1280,720,C,817,387,1066,513
13717.jpg,1280,720,C,679,451,939,605
4269.jpg,1280,720,A,387,95,834,223
4104.jpg,1280,720,A,209,117,451,341
18334.jpg,1280,720,C,751,146,1096,319
297.jpg,1280,720,A,843,91,1005,375
3845.jpg,1280,720,A,606,151,930,305
15415.jpg,1280,720,C,490,439,955,652
16106.jpg,1280,720,C,359,435,668,588
12840.jpg,1280,720,C,159,111,347,421
14178.jpg,1280,720,C,775,95,983,339
11580.jpg,1280,720,C,860,370,1082,496
280.jpg,1280,720,A,520,460,859,576
12848.jpg,1280,720,C,762,20,1001,328
2456.jpg,1280,720,A,192,424,523,568
5132.jpg,1280,720,A,482,124,982,229
1321.jpg,1280,720,A,680,430,960,591
10732.jpg,1280,720,B,184,310,349,451
7422.jpg,1280,720,B,500,111,753,208
8014.jpg,1280,720,B,792,356,1030,519
12177.jpg,1280,720,C,484,97,1017,212
9850.jpg,1280,720,B,233,177,449,323
15176.jpg,1280,720,C,304,449,567,610
5353.jpg,1280,720,A,792,114,1039,337
2253.jpg,1280,720,A,284,113,596,293
6034.jpg,1280,720,B,264,439,445,558
9815.jpg,1280,720,B,246,151,480,294
9609.jpg,1280,720,B,827,215,1090,375
3306.jpg,1280,720,A,477,508,869,628
4208.jpg,1280,720,A,856,367,1041,680
5079.jpg,1280,720,A,917,260,1105,513
2149.jpg,1280,720,A,243,109,491,298
1466.jpg,1280,720,A,315,232,535,432
11634.jpg,1280,720,C,817,131,1230,310
1890.jpg,1280,720,A,849,251,1051,440
10099.jpg,1280,720,B,801,192,1003,325
6563.jpg,1280,720,B,432,478,658,588
1167.jpg,1280,720,A,372,134,854,236
4440.jpg,1280,720,A,448,176,865,291
7493.jpg,1280,720,B,205,344,416,501
6030.jpg,1280,720,B,236,361,463,503
15256.jpg,1280,720,C,623,398,1009,632
8446.jpg,1280,720,B,804,210,1038,376
10988.jpg,1280,720,B,374,131,713,249
10600.jpg,1280,720,B,238,174,416,292
2902.jpg,1280,720,A,209,184,627,316
12639.jpg,1280,720,C,616,412,1143,626
17767.jpg,1280,720,C,230,440,580,640
15219.jpg,1280,720,C,81,223,484,435
148.jpg,1280,720,A,750,160,977,414
17313.jpg,1280,720,C,356,87,766,232
17750.jpg,1280,720,C,781,80,1063,307
3878.jpg,1280,720,A,795,165,1002,434
16811.jpg,1280,720,C,437,432,941,647
62.jpg,1280,720,A,821,203,1069,368
1975.jpg,1280,720,A,370,372,573,556
2879.jpg,1280,720,A,739,344,1039,537
15509.jpg,1280,720,C,781,125,994,370
15979.jpg,1280,720,C,475,487,917,628
4347.jpg,1280,720,A,271,237,467,477
17369.jpg,1280,720,C,823,208,1154,545
5534.jpg,1280,720,A,719,146,1066,288
4287.jpg,1280,720,A,206,461,603,600
1553.jpg,1280,720,A,763,162,936,416
3075.jpg,1280,720,A,733,348,1022,511
1582.jpg,1280,720,A,210,290,446,496
3605.jpg,1280,720,A,235,255,401,552
11809.jpg,1280,720,C,786,334,1120,672
2802.jpg,1280,720,A,269,93,723,232
5146.jpg,1280,720,A,212,264,442,488
15562.jpg,1280,720,C,501,83,1034,180
4539.jpg,1280,720,A,834,208,1055,357
15105.jpg,1280,720,C,776,363,1059,605
3383.jpg,1280,720,A,226,150,676,258
5209.jpg,1280,720,A,800,190,1055,344
17563.jpg,1280,720,C,149,202,387,468
740.jpg,1280,720,A,871,221,1094,468
6623.jpg,1280,720,B,519,524,786,636
3696.jpg,1280,720,A,636,456,1049,575
1388.jpg,1280,720,A,537,128,878,267
1711.jpg,1280,720,A,200,220,455,424
2520.jpg,1280,720,A,331,399,648,574
16549.jpg,1280,720,C,54,424,605,635
14900.jpg,1280,720,C,77,287,471,632
12318.jpg,1280,720,C,172,343,517,553
14353.jpg,1280,720,C,114,178,523,405
1998.jpg,1280,720,A,574,477,1061,572
13154.jpg,1280,720,C,312,43,601,216
16503.jpg,1280,720,C,865,371,1070,610
9470.jpg,1280,720,B,688,113,947,244
6255.jpg,1280,720,B,188,365,388,510
4984.jpg,1280,720,A,866,364,1055,585
2733.jpg,1280,720,A,576,444,996,558
6445.jpg,1280,720,B,203,262,390,391
480.jpg,1280,720,A,307,354,567,577
17301.jpg,1280,720,C,149,250,392,499
5858.jpg,1280,720,B,915,299,1135,438
11031.jpg,1280,720,B,246,389,478,531
15221.jpg,1280,720,C,821,99,1115,338
5481.jpg,1280,720,A,266,337,483,565
7876.jpg,1280,720,B,918,279,1143,434
10986.jpg,1280,720,B,802,148,1025,280
5021.jpg,1280,720,A,228,295,404,576
1977.jpg,1280,720,A,586,160,873,302
16951.jpg,1280,720,C,806,105,1021,256
9152.jpg,1280,720,B,272,194,489,333
4943.jpg,1280,720,A,877,146,1045,443
3921.jpg,1280,720,A,177,254,407,499
4122.jpg,1280,720,A,372,422,761,570
3705.jpg,1280,720,A,787,244,995,451
340.jpg,1280,720,A,308,358,503,580
5251.jpg,1280,720,A,692,122,942,344
3916.jpg,1280,720,A,222,360,490,530
6355.jpg,1280,720,B,711,444,962,585
5644.jpg,1280,720,B,312,147,532,253
9694.jpg,1280,720,B,851,267,1044,416
6591.jpg,1280,720,B,197,224,409,373
1452.jpg,1280,720,A,753,373,1015,589
4130.jpg,1280,720,A,760,121,974,341
1870.jpg,1280,720,A,668,156,953,356
3642.jpg,1280,720,A,239,134,469,382
4706.jpg,1280,720,A,686,379,1015,539
5325.jpg,1280,720,A,876,267,1074,515
1436.jpg,1280,720,A,391,483,816,602
9998.jpg,1280,720,B,288,392,534,548
16123.jpg,1280,720,C,363,40,907,248
4566.jpg,1280,720,A,907,324,1072,568
2938.jpg,1280,720,A,829,376,1062,599
17783.jpg,1280,720,C,791,313,1105,484
14226.jpg,1280,720,C,183,105,385,369
13330.jpg,1280,720,C,818,174,1112,376
15986.jpg,1280,720,C,745,185,1161,492
17076.jpg,1280,720,C,184,359,576,644
8703.jpg,1280,720,B,256,400,502,548
2426.jpg,1280,720,A,259,171,579,325
17379.jpg,1280,720,C,760,418,1023,615
5183.jpg,1280,720,A,738,147,981,372
5444.jpg,1280,720,A,273,294,465,552
3576.jpg,1280,720,A,243,270,496,453
16705.jpg,1280,720,C,825,368,1117,525
2897.jpg,1280,720,A,275,176,611,325
13921.jpg,1280,720,C,909,225,1127,467
3396.jpg,1280,720,A,391,119,739,249
5311.jpg,1280,720,A,546,464,999,593
10194.jpg,1280,720,B,899,258,1081,398
7610.jpg,1280,720,B,702,116,952,240
5015.jpg,1280,720,A,629,142,950,296
3356.jpg,1280,720,A,264,237,520,432
17046.jpg,1280,720,C,226,86,592,321
2810.jpg,1280,720,A,756,327,1003,490
6982.jpg,1280,720,B,622,486,865,619
16915.jpg,1280,720,C,147,197,355,465
12083.jpg,1280,720,C,299,107,745,308
3185.jpg,1280,720,A,735,338,1005,494
12271.jpg,1280,720,C,536,98,1089,234
2825.jpg,1280,720,A,272,257,388,572
4788.jpg,1280,720,A,245,145,422,334
13622.jpg,1280,720,C,754,369,1138,569
17524.jpg,1280,720,C,434,446,747,618
2421.jpg,1280,720,A,404,119,801,239
2554.jpg,1280,720,A,292,402,521,656
5761.jpg,1280,720,B,283,281,428,413
2362.jpg,1280,720,A,845,239,1067,469
15158.jpg,1280,720,C,383,485,810,627
3713.jpg,1280,720,A,634,320,968,498
5555.jpg,1280,720,A,217,133,403,364
1256.jpg,1280,720,A,217,311,365,597
7634.jpg,1280,720,B,765,417,990,544
1334.jpg,1280,720,A,809,234,1043,463
8216.jpg,1280,720,B,933,270,1102,401
1554.jpg,1280,720,A,768,137,1008,378
10063.jpg,1280,720,B,386,160,640,295
16409.jpg,1280,720,C,208,49,531,340
2120.jpg,1280,720,A,398,374,631,562
15976.jpg,1280,720,C,488,446,1023,664
1935.jpg,1280,720,A,167,302,418,552
9773.jpg,1280,720,B,251,196,472,373
13695.jpg,1280,720,C,171,215,398,482
4937.jpg,1280,720,A,351,390,600,581
4064.jpg,1280,720,A,155,212,318,421
5305.jpg,1280,720,A,775,416,1024,594
4266.jpg,1280,720,A,288,514,723,597
493.jpg,1280,720,A,611,513,1086,619
3120.jpg,1280,720,A,270,225,546,384
1043.jpg,1280,720,A,850,373,1045,576
9063.jpg,1280,720,B,658,124,930,241
5707.jpg,1280,720,B,900,236,1090,424
4272.jpg,1280,720,A,238,498,710,608
120.jpg,1280,720,A,944,308,1101,563
46.jpg,1280,720,A,640,136,993,300
1395.jpg,1280,720,A,612,444,1034,548
4953.jpg,1280,720,A,237,480,698,593
17815.jpg,1280,720,C,932,227,1176,581
4167.jpg,1280,720,A,483,418,864,531
14411.jpg,1280,720,C,707,120,1104,259
14688.jpg,1280,720,C,415,67,861,208
2448.jpg,1280,720,A,703,343,1016,527
15642.jpg,1280,720,C,510,92,1274,239
16650.jpg,1280,720,C,253,95,537,279
1466.jpg,1280,720,A,315,232,535,432
12371.jpg,1280,720,C,333,503,807,622
16840.jpg,1280,720,C,167,213,356,470
4256.jpg,1280,720,A,397,259,512,588
18418.jpg,1280,720,C,284,71,683,301
4863.jpg,1280,720,A,239,409,519,549
11151.jpg,1280,720,B,306,455,502,570
5263.jpg,1280,720,A,207,339,371,573
3574.jpg,1280,720,A,304,357,539,562
15563.jpg,1280,720,C,145,198,479,430
2900.jpg,1280,720,A,777,293,1014,505
2544.jpg,1280,720,A,636,454,961,606
15477.jpg,1280,720,C,100,26,415,400
4451.jpg,1280,720,A,858,237,1068,457
1438.jpg,1280,720,A,686,376,995,532
5165.jpg,1280,720,A,820,221,1014,479
647.jpg,1280,720,A,840,117,1064,365
8674.jpg,1280,720,B,864,365,1076,507
4312.jpg,1280,720,A,582,180,904,316
9840.jpg,1280,720,B,275,199,498,367
1764.jpg,1280,720,A,859,221,1072,407
7369.jpg,1280,720,B,414,492,628,601
3330.jpg,1280,720,A,719,147,1042,272
5680.jpg,1280,720,B,679,492,881,590
2799.jpg,1280,720,A,708,316,994,516
1888.jpg,1280,720,A,521,172,831,325
3092.jpg,1280,720,A,701,134,1039,250
6107.jpg,1280,720,B,423,480,717,600
3453.jpg,1280,720,A,272,247,465,492
3665.jpg,1280,720,A,614,128,920,278
7799.jpg,1280,720,B,276,158,526,303
2692.jpg,1280,720,A,285,376,481,605
16507.jpg,1280,720,C,333,70,852,300
733.jpg,1280,720,A,794,224,1004,451
318.jpg,1280,720,A,659,168,920,353
18427.jpg,1280,720,C,713,413,1059,554
5544.jpg,1280,720,A,400,514,865,624
4898.jpg,1280,720,A,952,310,1140,559
1786.jpg,1280,720,A,624,127,1032,231
7394.jpg,1280,720,B,615,146,899,270
14756.jpg,1280,720,C,230,367,452,539
5385.jpg,1280,720,A,783,346,1051,517
2850.jpg,1280,720,A,343,332,558,556
13656.jpg,1280,720,C,192,392,574,643
10313.jpg,1280,720,B,444,88,718,197
1837.jpg,1280,720,A,768,203,1054,397
15195.jpg,1280,720,C,236,132,488,290
4087.jpg,1280,720,A,241,300,405,576
2107.jpg,1280,720,A,192,308,448,527
13143.jpg,1280,720,C,790,203,1159,474
4396.jpg,1280,720,A,345,339,510,564
9183.jpg,1280,720,B,737,139,970,266
7952.jpg,1280,720,B,173,329,360,469
305.jpg,1280,720,A,310,224,809,365
3093.jpg,1280,720,A,336,385,618,554
2309.jpg,1280,720,A,736,147,981,368
1560.jpg,1280,720,A,812,298,1045,517
832.jpg,1280,720,A,878,355,1055,561
6036.jpg,1280,720,B,364,464,566,574
3267.jpg,1280,720,A,321,433,623,605
13096.jpg,1280,720,C,223,279,514,543
12740.jpg,1280,720,C,275,139,500,300
3512.jpg,1280,720,A,711,416,972,580
16833.jpg,1280,720,C,103,155,410,497
962.jpg,1280,720,A,367,178,844,277
1176.jpg,1280,720,A,520,137,868,275
18008.jpg,1280,720,C,969,287,1150,585
1957.jpg,1280,720,A,253,232,534,429
10630.jpg,1280,720,B,204,260,381,381
6336.jpg,1280,720,B,983,333,1161,443
9377.jpg,1280,720,B,768,455,975,567
7711.jpg,1280,720,B,910,209,1093,318
10975.jpg,1280,720,B,469,496,712,608
3770.jpg,1280,720,A,709,160,977,352
4104.jpg,1280,720,A,209,117,451,341
7427.jpg,1280,720,B,711,504,914,599
1767.jpg,1280,720,A,388,210,570,479
9591.jpg,1280,720,B,869,339,1079,510
15062.jpg,1280,720,C,319,70,835,212
5296.jpg,1280,720,A,546,451,927,602
3946.jpg,1280,720,A,460,442,846,570
4382.jpg,1280,720,A,373,445,700,598
14835.jpg,1280,720,C,198,537,725,640
2724.jpg,1280,720,A,363,101,767,240
9420.jpg,1280,720,B,589,118,812,222
4824.jpg,1280,720,A,545,448,908,579
3905.jpg,1280,720,A,191,416,513,565
10214.jpg,1280,720,B,310,404,510,520
3853.jpg,1280,720,A,891,346,1070,582
3439.jpg,1280,720,A,227,290,399,558
6268.jpg,1280,720,B,210,375,429,506
4449.jpg,1280,720,A,899,324,1094,589
3469.jpg,1280,720,A,612,456,908,591
17937.jpg,1280,720,C,248,419,377,610
12825.jpg,1280,720,C,640,462,991,630
9935.jpg,1280,720,B,847,465,1032,575
444.jpg,1280,720,A,188,249,372,463
14645.jpg,1280,720,C,96,227,481,476
13497.jpg,1280,720,C,786,104,1126,298
15065.jpg,1280,720,C,758,399,1113,577
3893.jpg,1280,720,A,431,427,744,558
1427.jpg,1280,720,A,248,384,540,540
4773.jpg,1280,720,A,296,395,521,607
1952.jpg,1280,720,A,361,421,644,588
1802.jpg,1280,720,A,190,183,512,367
4728.jpg,1280,720,A,299,278,532,515
1097.jpg,1280,720,A,625,274,926,480
10425.jpg,1280,720,B,920,241,1145,356
16281.jpg,1280,720,C,843,189,1144,428
9599.jpg,1280,720,B,910,363,1076,485
17682.jpg,1280,720,C,764,162,1173,433
3325.jpg,1280,720,A,289,142,506,308
622.jpg,1280,720,A,265,245,451,505
3294.jpg,1280,720,A,283,297,471,552
17210.jpg,1280,720,C,123,78,319,410
1047.jpg,1280,720,A,718,404,983,586
16688.jpg,1280,720,C,907,191,1200,362
520.jpg,1280,720,A,381,405,639,571
307.jpg,1280,720,A,533,471,853,590
3703.jpg,1280,720,A,285,243,505,429
1467.jpg,1280,720,A,272,392,488,659
6099.jpg,1280,720,B,280,173,498,294
12563.jpg,1280,720,C,883,296,1086,597
370.jpg,1280,720,A,620,129,1040,253
5404.jpg,1280,720,A,220,278,459,497
3474.jpg,1280,720,A,679,444,997,616
2025.jpg,1280,720,A,318,367,598,573
5212.jpg,1280,720,A,252,185,631,297
792.jpg,1280,720,A,845,231,1093,456
5504.jpg,1280,720,A,343,125,621,267
3345.jpg,1280,720,A,742,305,991,507
3884.jpg,1280,720,A,735,335,1023,558
6955.jpg,1280,720,B,316,168,535,286
2936.jpg,1280,720,A,632,443,947,596
4320.jpg,1280,720,A,249,203,605,329
15514.jpg,1280,720,C,816,375,1091,528
16700.jpg,1280,720,C,226,63,685,295
4764.jpg,1280,720,A,831,223,1059,383
18055.jpg,1280,720,C,140,382,453,646
